Review,Rating,Sentiment
The Fiendish Plot of Dr. Fu Manchu (1980). This is hands down the worst film I've ever seen. What a sad way for a great comedian to go out.,1,0
"This movie is so bad it's almost good. Bad story, bad acting, bad music, you name it. O.K., who are the jokers that gave this flick a '10'?",1,0
This film made John Glover a star. Alan Raimy is one of the most compelling character that I have ever seen on film. And I mean that sport.,10,1
This movie turned out to be better than I had expected it to be. Some parts were pretty funny. It was nice to have a movie with a new plot.,7,1
You've got to be kidding. This movie sucked for the sci-fi fans. I would only recommend watching this only if you think Armageddon was good.,4,0
The one-liners fly so fast in this movie that you can watch it over and over and still catch new ones. By far one of the best of this genre.,9,1
"This movie was so incredibly boring, Michael J. Fox could've done so much better. Sorry, but it's true for all you people who liked the movie",1,0
"Great story, great music. A heartwarming love story that's beautiful to watch and delightful to listen to. Too bad there is no soundtrack CD.",10,1
I can't believe they got the actors and actresses of that caliber to do this movie. That's all I've got to say - the movie speaks for itself!!,1,0
Excellent episode movie ala Pulp Fiction. 7 days - 7 suicides. It doesnt get more depressing than this. Movie rating: 8/10 Music rating: 10/10,10,1
I thought this was a quiet good movie. It was fun to watch it. What I liked best where the 'Outtakes' at the end of the movie. They were GREAT.,10,1
"Drum scene is wild! Cook, Jr. is unsung hero of this and many movies. Fantastic actor, great flick. A few twists that keep you moving. A must-see.",10,1
"John Leguizamo's ""Freak"" is one of the funniest one-man shows I've ever seen! I recommend it to anyone! Well, anyone with a good sense of humor....",10,1
"The only remarkable fact is the participation of Klaus Kinski who plays a priest. Don't ask me why he does it! A bad, bad movie overall.",2,0
Anyone who gives this movie less than 8 needs to step outside & puff a couple. Great story.Reality is for people who can't handle drugs.,8,1
It is an almost ideal romantic anime! MUST SEE FOR ALL AGES! But the English dubbed version is not too good. Perhaps the 1999 version will be better.,10,1
The Buddy Holly Story is a great biography with a super performance from Gary Busey. Busey did his own singing for this film and he does a great job.,8,1
Rating-10 Classic Waters! One of his best and most shocking films! Divine is THE most filthy person ever! Mink Stole also delivers a superb performance!,10,1
"The movie is not that bad, Ringo Lam sucks. I hate when Van Damme has love in his movies, van Damme is good only when he doesn't have love in his movies.",1,0
Malcolm McDowell has not had too many good movies lately and this is no different. Especially designed for people who like Yellow filters on their movies.,4,0
"Great cast, great acting, great music. Each character in this movie had their own stories and personalities and it's vivid. A great movie not to be missed.",10,1
I was overtaken by the emotion. Unforgettable rendering of a wartime story which is unknown to most people. The performances were faultless and outstanding.,10,1
One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear! Rather risqu?? for 1931!,7,1
I really enjoyed this movie... In My DVD collection of baseball movies... Reminded me how great the sport truly is... Whether it's here in America or Japan.,10,1
"Go, Igor, go, you are the proof that Slovenian films may, should and must be different. There's soul in it, and this is rare. Don't let anybody put you down!",10,1
"This movie is based on the novel Island of dr. Moreau By H.G. Wells. It's a fairly good one too, it's at least better than the version by John Frankenheimer.",7,1
"My first thoughts on this film were of using science fiction as a bad way to show naked women, althought not a brilliant story line it had quite a good ending",4,0
Kept my attention from start to finish. Great performances added to this tremendous film. Mr. Pacino once again gives us another brilliant character to enjoy.,10,1
"Brilliant execution in displaying once and for all, this time in the venue of politics, of how ""good intentions do actually pave the road to hell"". Excellent!",10,1
The only thing serious about this movie is the humor. Well worth the rental price. I'll bet you watch it twice. It's obvious that Sutherland enjoyed his role.,9,1
I don't believe it... Luc Besson is not only a genius now...he has always been one... this film is for everyone who likes real good deep films...just perfect!,10,1
"The acrobatics mixed with haunting music, make one spectacular show. The costumes are vibrant and the performances will just boggle your mind! Simply amazing!",10,1
Bad movie. It??s too complicated for young children and too childish for grown-ups. I just saw it because I??m a Robin Williams fan and I was very disappointed.(,4,0
"Without question, the worst ELVIS film ever made. The movie portrays all Indians as drunk, stupid, and lazy. Watch ELVIS's skin change color throughout the film.",1,0
"I liked the movie a real lot. Wanted to see it just for Dara Tomanovich, but the plot and story were ok too. A very cool change in plot when you least expect it.",8,1
I had to see this on the British Airways plane. It was terribly bad acting and a dumb story. Not even a kid would enjoy this. Something to switch off if possible.,2,0
Touching; Well directed autobiography of a talented young director/producer. A love story with Rabin's assassination in the background. Worth seeing !,10,1
"I love all his work but this looks like nothing.. sorry.. This looks more like a ""David Lynch copycat"". I think people like it only because ""it's from David Lynch"".",2,0
I regret that I've seen this movie. Can't believe that the creator of Best Intentions and Pelle the Conqueror could make such a bleak and boring film. What a waste!,4,0
"At one point in this waste of celluloid, Charles Dance as some sort of meant-to-be-funny, cyborg bad guy says ""If I had an anus, I'd soil myself.""Quite.",1,0
What a stinker!!! I swear this movie was written by a computer that took a whole pile of other movies and merged them all together into this platypus of film. Ouch!,1,0
"I've seen soap operas more intelligent than this movie. Bad characters, bad story and bad acting. It would be a love story between a man and a mermaid. Really awful.",1,0
"a real hoot, unintentionally. sidney portier's character is so sweet and lovable you want to smack him. nothing about this movie rings true. and it's boring to boot.",1,0
"THis movie shows us once again, how genius the Japanese directors are and were. This movie could be seen as a sort of a ""Silent - Movie Tetsuo"". Well Eisenstein...:)",9,1
this was a get up and go horror movie with an intelligent cast and a director with great vision to really capture the mood of the story i highly recommend this movie,8,1
I don't know why I even watched this film. I think it was because I liked the idea of the scenery and was hoping the film would be as good. Very boring and pointless.,2,0
GREAT movie and the family will love it!! If kids are bored one day just pop the tape in and you'll be so glad you did!!!~~~Rubei luv raven-s!,10,1
"Leslie Nielson is a very talented actor, who made a huge mistake by doing this film. It doesn't even come close to being funny. The best word to describe it is STUPID!",1,0
This sequel to Problem Child is just as bad as the first one. It still teaches kids that it's O.K. to be bad. It's impossible for me to recommend this movie to anyone.,1,0
"If you are French native, then you find this movie extremely funny. It's good, just good! Can though imagine that subtitles or translations don't mean much in english.",9,1
A movie best summed up by the scene where a victim simulates disembowelment by pulling some poor animal's intestines out from under her T-shirt. Too terrible for words.,1,0
"Although not one of Vonnegut's better known works, it is a definite ""must-see"". Interestingly thought out, I especially like how the director filmed the couple in love.",10,1
"It's not Citizen Kane, but it does deliver. Cleavage, and lots of it.Badly acted and directed, poorly scripted. Who cares? I didn't watch it for the dialog.",9,1
Albert Pyun delivers a very good action/drama about a junkie who tries to rip-off a big crime-lord. A lot of style and many very cool actors. Burt Reynold is excellent.,10,1
It is a shame that such a great book was turned into such a terrible movie. I could not wait to see this movie after reading the book....it really did not do it justice.,2,0
This movie is very good. The screenplay is enchanting. But Meryl Streep is most impressive. Her performance is excellent. She brings me to go into the heart of her role.,8,1
I smiled through the whole film. The music is great. The story-telling is great. It's a wonderful film. This picture is made with respect and a true love of the sixties.,10,1
Wonderful movie. Adult content. Lots of erotic scenes plus excellent music and dance scenes. My wife and I absolutely loved this movie and wish they'd make more like it.,10,1
This movie is a real waste of time and effort. The film lacks plot and depth. The visuals are decent but nothing to write home about. There are far better films out there.,1,0
"I found this movie really hard to sit through, my attention kept wandering off the tv. As far as romantic movies go..this one is the worst I've seen. Don't bother with it.",1,0
"Did Sandra (yes, she must have) know we would still be here for her some nine years later?See it if you haven't, again if you have; see her live while you can.",9,1
"This is a great film. Touching and strong. The direction is without question breathless. Good work to the team. I feel so sorry for Marlene, By the grace of God go you or I",10,1
"I have NEVER fallen asleep whilst watching a movie before.I did with this one.Avoid at all costs, give your time and money to a worthy cause instead.",1,0
"And I really mean that. I caught it last night on Vh1, and I was not expecting it to be so good. This is now one of my favorites. I must add that it has a killer soundtrack.",10,1
"Please avoid this movie at all costs. This is without a doubt, the worst movie I've ever seen. Most movies have at least one redeeming value. This has none. Totally horrible!",1,0
I think that movie can`t be a Scott`s film. That is impossible. Do you remember Blade Runner? And Alien? Two greats movies versus a one. I hope didn??t see ever it. good bye!!,1,0
"I couldn't stop laughing, I caught this again on late night TV. ""I suppose you think you're some kind of hero for bringing my daughter back alive"" ""No"" ""Good""haha.",3,0
"This is actually one of my favorite films, I would recommend that EVERYONE watches it. There is some great acting in it and it shows that not all ""good"" films are American....",10,1
This is a 'sleeper'. It defines Nicholas Cage. The plot is intricate and totally absorbing. The ending will blow you away.See it whenever you have the opportunity.,10,1
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.Great Camp!!!",10,1
I don't care if some people voted this movie to be bad. If you want the Truth this is a Very Good Movie! It has every thing a movie should have. You really should Get this one.,10,1
"Well, this movie actually did have one redeeming quality. It made up the funniest season one episode of MST3K. I wish Rhino had released this one instead of ""The Crawling Hand.""",1,0
I just saw the movie on tv. I really enjoyed it. I like a good mystery. and this one had me guessing up to the end. Sean Connery did a good job. I would recomend it to a friend.,9,1
This unpretentious Horror film is probably destined to become a cult classic. Much much better than 90% of the Scream rip-offs out there! I even hope they come up with a sequel!,9,1
"Love it, love it, love it! This is another absolutely superb performance from the Divine Miss M. From the beginning to the end, this is one big treat! Don't rent it- buy it now!",10,1
"Love it, love it, love it! This is another absolutely superb performance from the Divine Miss M. From the beginning to the end, this is one big treat! Don't rent it- buy it now!",10,1
I watched this film over a hundred times. It is really best Serbian movie made ever.I wood like to recommend this movie to everyone. It is very good comedy. I surely like it!!!!,10,1
"Much underrated camp movie on the level of Cobra Woman, etc. Photographic stills resemble Rembrandt prints. Sometimes subtle dialog and hidden literate touches found throughout.",7,1
"This is one of the best movies I've seen. The acting is good, the plot is solid, and the whole movie is very believable, which adds a lot to the movie. I rate this at least a 9.",9,1
"This is the weakest of the series, not much of a plot and a rather odd-looking Wallace. But it's still pretty good, considering. A sign of greater things to come!6/10",4,0
"At least the jingle by Tim Finn was melodic. Roberts is the his usual inept self. Characters are inconsistent, dull, purposeless. Roberts changes his accent even within one line.",1,0
Worst horror film ever but funniest film ever rolled in one you have got to see this film it is so cheap it is unbeliaveble but you have to see it really!!!! P.s watch the carrot,10,1
Giorgino can to some people look a bit long but it's one of rare real romantique adventure film. It could be compare to Docter Jivago with a bit of Sleepy Holow. You must see it.,8,1
Worst horror film ever but funniest film ever rolled in one you have got to see this film it is so cheap it is unbeliaveble but you have to see it really!!!! P.s watch the carrot,10,1
"Subject Matter: Cosmology, Quantum Physics and Stephen HawkingSoundtrack: Phillip GlassHave I died and gone to Heaven? You will be enraptured.",9,1
It is one of the best of Stephen Chow. I give it a nine out of ten.I was surprised to see that Shaolin Soccer was rated on top of all singsing's movies. Unbelievable.,9,1
Not good! Rent or buy the original! Watch this only if someone has a gun to your head and then....maybe.It is like claiming an Elvis actor is as good as the real King.,4,0
This was an incredibly stupid movie. It was possibly the worst movie I've ever had the displeasure of sitting through. I cannot fathom how it ranks a rating of 5 or 6.............,1,0
"I can't believe this movie has an average rating of 7.0! It is a fiendishly bad movie, and I saw it when it was fairly new, and I was in the age group that is supposed to like it!",2,0
If there is a movie to be called perfect then this is it. So bad it wasn't intended to be that way. But superb anyway... Go find it somewhere. Whatever you do... Do not miss it!!!,10,1
"But perhaps you have to have grown up in the 80's to truly appreciate this movie. If you love the early 80's this is definitely a must see. Also, one of the best soundtracks ever!",9,1
"Despite its interesting premise, 'Sniper' is quite tedious. With a tighter script and sharper directing it could have been electrifying; instead it plods along with little tension.",4,0
"Cheap, amateurish, unimaginative, exploitative... but don't think it'll have redeeming amusement value. About as unentertaining, uninstructive and just plain dull as a film can be.",1,0
"I could almost wish this movie had not been made. Stan Laurel was dying, and it shows in his face, even more angular and gaunt than usual. A poor script, and inept supporting cast.",2,0
im sure he doesnt need the money for a life saving operation or transplant. in all honesty i think this review qualifies as a better movie than 'bulletproof'. thanks for listening.,1,0
"Its the best movie I have seen in 2000, it has the beautiful and talented Natalie Portman in it. It has a great storyline, cast and soundtrack. I enjoyed it very much. 10 out of 10",10,1
My ten-year old liked it. For me it was hard to get through it. Christopher Lloyd played it way over the top and the suit was tedious and unfunny. Sorry to see Jeff Daniels in this.,3,0
"If it wasn't for the terrific music, I would not hesitate to give this cinematic underachievement 2/10. But the music actually makes me like certain passages, and so I give it 5/10.",4,0
This Schiffer guy is a real genius! The movie is of excellent quality and both entertaining and educating.I didn't know what a weather girl was before I learned it here.,9,1
"The one of the most remarkable sci-fi movies of the millennium. Not only a movie but an incredible future vision, this movie establishes a new standard of s/f movies. hail and kill!",10,1
"To quote Flik, that was my reaction exactly: Wow...you're perfect! This is the best movie! I think I can even say it's become my favorite movie ever, even. Wow. I tell you what, wow.",10,1
"with very little screen time and money, Dan Katzir manages to do so much. This movie, in its heart-warming simplicity, touches the beauty of love from a fresh angle. rejuvinated lust",10,1
"Simply one of the best movies ever. If you won't get it - sorry for you. I believe that someday people will include this one in their all-time top 10's. Not now, but in the far future.",10,1
"bad acting , combats are very awful , 3-4 second between each text , bad music , bad effect and always the same plan during the movie. if you want laugh go it 2/10 ( for the fool laugh)",2,0
"What a waste of talent. A very poor, semi-coherent, script cripples this film. Rather unimaginative direction, too. Some VERY faint echoes of _Fargo_ here, but it just doesn't come off.",4,0
"Masterpiece. Carrot Top blows the screen away. Never has one movie captured the essence of the human spirit quite like ""Chairman of the Board."" 10/10... don't miss this instant classic.",1,0
Allison Dean's performance is what stands out in my mind watching this film. She balances out the melancholy tone of the film with an iridescent energy. I would like to see more of her.,10,1
1st watched 8/31/1996 - (Dir-Tim Robbins): Very thought provoking and very well done movie on the subject of the death penalty. Deserved more recognition and publicity than it received.,10,1
"Giant crabs cursing in Japanese? What was in that drink? A terrible movie, but laughable. I love the invisible Samurai ghosties running around. Drink much beer before you see this movie.",1,0
A dedicated Russian Scientist dreams of going to Mars. He eventually gets there but it takes the whole film before we are able to have a laugh at the Russian style of Revolution in Mars.,3,0
"A really realistic, sensible movie by Ramgopal Verma . No stupidity like songs as in other Hindi movies. Class acting by Nana Patekar. Much similarities to real 'encounters'.",9,1
This movie stinks. The stench resembles bad cowpies that sat in the sun too long. I can't believe that so many talented actors wasted their time making such a hopelessly awful film. Whew!,1,0
"This started out slow, then got worse. The best parts of this were all seen in the previews.Bad Apple has the feel of a pilot - if that's the case TNT should save their money.",3,0
"I thought this movie was horrible. I was bored and had to use all the self control I have to not scream at the screen. Mod Squad was beyond cheesy, beyond cliche, and utterly predictable.",2,0
This was one of the worst movies I have ever seen! The only advantage seeing this movie is that the next movie can't possibly be worse. It's childish as hell (but Children aren't allowed),1,0
"Oh, man! This thing scared the heck out of me when I first watched it... and I was SIXTEEN!!!That creepy animated Barbie is scary as hell! I want to stop talking about her now.",2,0
"I agree with the other comments. I saw this movie years ago. Christopher Plummer is hilarious as a dandy. The ribaldry is unsurpassed. If this comes out on video, I will definitely buy it.",9,1
Goof: Factual errorWhen Charlie walks out of the room to commit suicide he takes his gun with a silencer. After a few seconds we hear a loud bang from the same gun being fired.,7,1
Dreadful acting. A thinly veiled attempt to slam those on the left side of the aisle.Women are subjugated and revolve around men. Tom Selleck shows his acting range from A to B.,1,0
"A nicely done thriller with plenty of sex in it. I saw it on late night TV. There are two hardcore stars in it, Lauen Montgomery and Venus. Thankfully, Gabriella Hall has just a small part.",10,1
"...an incomprehensible script (when it shouldn't have been) dependent on a rather flaky voice-over.The animation, however, show real talent.Quite visually impressive.",4,0
"Looking for a REAL super bad movie? If you wanna have great fun, don't hesitate and check this one!Ferrigno is incredibly bad but is also the best of this mediocrity.",1,0
"I??m from Germany and I love the mvovies. I go 200 times a year. Tonight I saw ""Pecker"", it was a wonderful evening. Thank you, Mr. Waters. Everybody who has a chance to see the movie, go!!!",10,1
"The movie was a big Car Commercial. :-)But who cares? I went to the theater to view the Shelby Cobra, Angelina & Cage.So I guess it was a good movie. *bg*",8,1
"This is absolutely the worst trash I have ever seen. When I saw it in the theater (arghhh!), it took 15 full minutes before I realized that what I was seeing was the feature, not a sick joke!",1,0
So so special effects get in the way of recapturing the interesting relationship between Uncle Martin and Tim O'Hara that we remember from the TV series. And what was with the suit? Annoying!,3,0
"Me and a couple of friends went to rent some movies one day, we picked one each and one of us picked Ironheart. Lets just say that from now on, we never let him pick a movie. This movie sucks",2,0
"Totally forgettable and almost unwatchable. If you enjoy bad acting, thin plots and predictably weak outcomes, pull up a chair. Of passing interest to see Bridget Fonda look-a-like Suzy Amis.",2,0
"The screen-play is very bad, but there are some action sequences that i really liked. I think the image is good, better than other romanian movies. I liked also how the actors did their jobs.",1,0
"You may like Tim Burton's fantasies, but not in a commercial-like show off lasting 8 minutes. It demonstrates good technical points without real creativity or some established narrative pace.",4,0
i really wanted this to be good as i am from Liverpool where it is set but it truly awful. the acting from everyone involved is cringeworthy the script is terrible absolutly terrible. terrible,1,0
"all i can say about this film is to read the back of the video case and then put it back on he shelf and pick anything else, i mean anything, a blank video, would be better than watching this.",1,0
"Brilliant kung-fu scenes, loads of melodrama, peculiar footwear symbolism and an unhappy (?) end makes Barefoot Kid an unforgettable film.One of the silliest subtitles I've seen...",10,1
A very well directed version of Eric Bogosian's stage play. Well worth checking out for Bogosian's great characters and for anyone who wants to see how to bring a play to the movies correctly.,10,1
Farley and Spade's best work ever. It's one of the all-around funniest movies I've ever seen. Watch it once and you'll be hooked and soon have all the lines memorized. No sleepy for Tommy Boy!,10,1
This movie was very good. I really enjoyed it. Tom McCamus' performance was excellent and very believable as the consumptive son Edmund. I also enjoyed the set design (house) and the costumes.,10,1
"The Claude Lelouch's movie is a pretty good moment of cinema. One of the most touching films about family and loneliness, and surely the best interpretation of French actor Jean-Paul Belmondo.",8,1
In my opinion this is the best Oliver Stone flick -- probably more because of Bogosian's influence than anything else. Riviting stuff -- full of dread from the first moment to its dark ending.,10,1
This movie was horrible and corny. James Agee is rolling in his grave.This movie was nothing at all like the book and made a mockery of it. No one should see this movie unless they want to gag.,1,0
"This must be the first movie I've rented and not seen to the end. Complete garbage! The acting, the plot, set and wardrobe looked like it came from a porno movie with a plot. Not even a B move.",1,0
"This film is one of Michael Keaton's best. Throughout the film he is 'on'. With co-stars like Ms. Henner, Joe Piscopo and Danny DeVito, you can't go wrong. Great laughs, great fun for everyone.",10,1
wonderful movie with good story great humour (some great one-liners) and a soundtrack to die for.i've seen it 3 times so far.the american audiences are going to love it.,10,1
this movie is the worst ive seen.. nicole kidman really dissapointed me.. this movie has nothing. i would not watch it again even if it were the last movie on earth. great actors but bad script.,3,0
"Before Dogma 95: when Lars used movies as art, not just a story. A beautiful painting about love and death. This is one of my favorite movies of all time. The color... The music... Just perfect.",10,1
"Foxes is a great film. The four young actresses Jodie Foster, Cherie Currie, Marilyn Kagan and Kandice Stroh are wonderful. The song ""On the radio"" by Donna Summer is lovely. A great film. *****",10,1
"A quite easy to watch tale of 2 thieves, with that love/hate type relationship between them. Chrisopher Walken stars and is very good as the silent rogue with a scam bigger than he's letting on.",7,1
"What about DJ Cash Money??? This film fails in part by not covering the mid to late 80s. There was only a small mention of DJ Cheese in 86.Also, it's Grandmixer ""DST"", not ""DXT""!!!!!",8,1
"I have seen ""Chasing the Dragon"" several times and have enjoyed it each time. The acting was superb. This movie really makes you realize how one bad choice at a weak moment can change your life.",10,1
"This movie is so bad, I knew how it ends right after this little girl killed the first person. Very bad acting very bad plot very bad moviedo yourself a favour and DON'T watch it 1/10",1,0
"This movie was lame, lame, lame. What a build up! What a let down. All form, no substance. A terrible waste of talent and time. Would not recommend it to my husband's dog, who will watch anything.",1,0
Wonderful film that mixes documentary and fiction in a way that makes the spectator question: what is the extent of truth in documentary films or is there such a thing as an objective documentary.,9,1
"My favorite part of this film was the old man's attempt to cure his neighbor's ills by putting the strong medicine in his bath. There is more than a sense of family, there is a sense of community.",10,1
"This is by far the worst non-English horror movie I've ever seen. The acting is wooden, the dialogues are simply stupid and the story is totally braindead. It's not even scary. 2 out of 10 from me.",1,0
Another bad spanish picture. This is very baaaad. I only save the photography and the music of Jos?? Nieto. The rest of the film is the worst I've seen in years. Paz Vega is horrible. Don't see it.,1,0
I absolutely loved this movie. It met all expectations and went beyond that. I loved the humor and the way the movie wasn't just randomly silly. It also had a message. Jim Carrey makes me happy. :),10,1
"Agreeable ""Boy's Own Paper"" nonsense with a sprightly performance from Cushing, some amusing rubber monsters, colourful jungle sets, & the ever-welcome appearance of Caroline Munro in animal skins.",7,1
"Predictable plot. Simple dialogue. Shockingly unemotional performances. But Robert Downey, Jr. is so cute, I gave this ""poor man's afternoon special"" a 3 instead of the 1 or 2 it so richly deserved.",3,0
"Prince of Central Park (2000) is so utterly bad. It was a pure waste of my time and I can't believe I actually watched the whole thing. Please do not watch this movie, if it's the last thing you do!",2,0
"Horrible, misogynist drivel. My neighbor brought this turkey over, subjected me to it, and didn't have the courtesy to apologize. The plot was laughable, my four year old could write a better movie.",1,0
"I just watched this movie for the second time, and enjoyed it as much as the first time. It is a very emotional and beautiful movie, with good acting and great family values. Inspiring and touching!",7,1
"Very smart, sometimes shocking, I just love it. It shoved one more side of David's brilliant talent. He impressed me greatly! David is the best. The movie captivates your attention for every second.",10,1
"I saw this film on television years ago, but here several years after, I wake up in the morning, and still remember her face.This film is the most profoundly terrifying film I have seen.",10,1
"Funny, yes. A Freleng classic! To watch Sylvester turn green is always a treat, and it brings us back to the days when cartoon slapstick was brave and geared for the adult mind.Loved it!",8,1
"The biggest heroes, is one of the greatest movies ever. A good story, great actors and a brilliant ending is what makes this film the jumping start of the director Thomas Vinterberg's great carrier.",9,1
photography was too jumpy to follow. dark scenes hard to see.Had good story line too bad it got lost somewhere. Too noisy for what was really happening Bottom line is it's a baddddd movie,3,0
"Can you say ""Boring"" with a capital B! It's slower than watching grass grow! It's more boring than watching paint dry! You'll sleep right through it.....we all did.....don't do it...you'll regret it!",4,0
"If you thought ""ROSEMARY'S BABY"" was bad, this one isn't much better. Easily one of the worst movies ever made, like it's lame predecessor, it goes nowhere fast. Rating: 1/2* out of *****",1,0
"I'm still laughing- Not! I'm still asking my myself what the point was. I barely got a chuckle, this movie sucks. It tries to be charming and touching, but it turns out stupid. I do not recommend it.",3,0
"terribly underrated with matt dillon and tom skerritt, good backdrop for solid story and some memorable lines, well acted and well cast, tommy lee jones and bruce dern make you hate them with passion",10,1
"This is a strange, little, forgotten movie from the late eighties. It's one of those ""Large-cast kitchen sink"" movies that delivers some good gags. If you like the people in this one, give it a shot.",7,1
"In my opinion, this film has wonderful lighting and even better photography. Too bad the story is not all that good and Mr. Cage sometimes loses his accent. But two thumbs up for lighting and the DP!",8,1
"Cool idea... botched writing, botched directing, botched editing, botched acting. Sorta makes me wish I could play God and strike everyone involved in making this film with several bolts of lightning.",1,0
Enjoyable and watchable. Tim Meadows at his best. A big boost from Billy Dee Williams. He and a very funny John Witherspoon provide a solid foundation for Mr. Meadows' riffing. Have fun with this one.,9,1
